"","WordVec_1","WordVec_2","WordVec_3","WordVec_4","WordVec_5","WordVec_6","WordVec_7","WordVec_8","WordVec_9","WordVec_10","WordVec_11","WordVec_12","WordVec_13","WordVec_14","WordVec_15"
"	cinai""",-0.168388799869923,0.61274557897382,0.438733835523991,0.310420069011137,0.657452398036125,0.776099412866539,-0.179729814002581,-0.00562989645067602,-0.60660921506466,-0.454158007747644,-0.0953272970854242,0.76248395618718,-0.0173562757689783,-0.443219573967152,0.195544236206521
"""""	""							closnoitemnlhsclosklhs""",-0.40465329028666,-0.926630959147587,-0.215126899071038,0.628754240693524,0.469246870605275,-0.215041493996978,-0.148804620373994,0.539858043426648,-0.019533806713298,0.119816480902955,0.844114813255146,0.00460926350206137,-0.0406745886430144,-0.337083578109741,-0.0785667113959789
"""""	""							ifclosnoitemllhsclosklhs",-0.634680198713798,-0.264004766485179,-0.114389574944428,0.69134566071628,0.190124639084963,-0.523144617878483,0.0919392555327804,-0.0514749694446405,-0.6526052676352,0.0297092350980641,0.13265752550719,0.274965203798402,0.553467327314267,0.0330724071916335,-0.668947229886633
"""""	""							nn""",0.310074792709202,0.402565450407565,-0.729128097416833,0.228930133860558,-0.938882380025461,-0.0562964237760752,0.238576081348583,0.352644368074834,-0.0142024199012667,0.0341217922978103,-0.66531387437135,-0.630790148396045,-0.303964285878465,-0.00443185470066965,0.29443759820424
"""""	""						cc""",0.403010116657242,0.898867086740211,-0.669354168698192,-0.589124617166817,-0.723428293131292,-0.738463170360774,0.852464082883671,0.760923157678917,0.620727682951838,-0.143841473385692,-0.332930832868442,0.263443988282233,-0.408812754787505,0.312094061402604,0.437530999304727
"""""	""						goto",0.163452538851628,-0.8443611491246,0.684580181110783,0.301300087557029,0.14418748460241,0.516972871513566,0.132983059568563,-0.40548520846816,-0.0766722299175688,-0.09002645170548,-0.349910016984261,0.0583473950301189,0.242187919077588,0.566326989574876,-0.120587081523007
"""""	""						iflistmcloszjrhsk""",0.34834911650978,0.57444235868752,0.387516664573923,0.290718512842432,-0.345751195447519,-0.149297239258885,-0.159276646794751,0.347843310330063,-0.219914389075711,-0.280348479980603,-0.10214118892327,0.0797042481135577,-0.0363947355654091,-0.452578837284818,0.51380210602656
"""""	""						ifln""",-0.617078315932304,0.0540558095090091,-0.778788385447115,0.504928016103804,-0.692452408373356,-0.289659187663347,-0.703816435532644,-0.559175530681387,-0.344355314970016,0.790446324273944,0.105678823543712,-0.237906739581376,-0.618154837051407,0.795399154769257,-0.61730709602125
"""""	""						leadik""",-0.538731313077733,-0.244098060298711,-0.23388075013645,-0.00310933869332075,-0.453214950161055,0.791859621414915,0.112924458924681,-0.823441997170448,-0.682249685749412,0.0223444497678429,0.0423506333027035,0.0183448253665119,0.232697507133707,-0.390138256829232,0.0485532502643764
"""""	""						tempm""",-0.56004452961497,-0.146863837726414,0.548220292665064,-0.207606688374653,0.513841192005202,-0.0518629194702953,0.844759318279102,0.485952904913574,-0.751504151150584,0.305945560103282,0.100710207363591,0.710827869130298,0.0215330582577735,-0.159774348372594,0.245680352672935
"""""	""					break""",-0.228121908614412,0.0812237039208412,-0.121657485375181,0.0360953139606863,0.566614540293813,-0.283633804414421,-0.425711174495518,-0.0048211794346571,-0.0348695805296302,-0.858842293964699,0.186119528254494,-0.181350363651291,0.419691171729937,0.557094993069768,0.750896856654435
"""""	""					count""",-0.230284300399944,0.475027303444222,0.599422466242686,0.141763184219599,-0.499248587526381,0.552275247173384,0.123962566489354,-0.500506579875946,-0.19894985249266,0.442827867809683,-0.796789068495855,0.139136833837256,0.0582770821638405,0.0304539820645005,-0.00693233171477914
"""""	""					goto",0.388511241055586,0.0317775849935713,0.617917713319939,-0.271624194739634,-0.34228049198349,-0.808568200713542,0.829961921187779,-0.776394333270167,0.106998898430042,0.16297739360245,-0.290609360268578,0.175093628481806,0.207501520390896,0.192087134374296,0.840585231566949
"""""	""					ifgramirhsjcounttermk""",0.142559724394232,-0.867082205833867,-0.46436910983175,0.104863152606413,-0.264574061846361,-0.0329450990539044,-0.466219517868012,0.530415214132518,0.0854157437570393,0.307406932348385,-0.778773050755262,0.39019659999758,-0.115920158335939,0.479308146052063,-0.202028776053339
"""""	""					ifleadtempk""",-0.130391147686169,0.388176528504118,0.234626492485404,0.610986178508028,0.579727560514584,0.467109433142468,0.137845372082666,0.079304430866614,-0.318201538175344,-0.598300947342068,0.108106380794197,-0.252167849801481,0.414543299470097,-0.0147499453742057,0.518522265600041
"""""	""					ifml""",-0.0190949812531471,0.0354531654156744,0.0270871932152659,-0.21200717613101,-0.349679024657235,-0.372231739806011,-0.391770560760051,0.654210557229817,-0.0665300756227225,0.428338174242526,0.786721721291542,-0.603097688872367,0.418248214293271,0.589325044071302,0.231228891061619
